row_number,reason,manufacturer_name,airbus_material,manufacturer_part_number,cage_code,standard
1010556,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010557,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010558,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010559,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010560,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010561,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010562,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010563,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010564,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010565,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010566,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010567,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010568,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010569,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010570,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010571,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010572,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010573,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010574,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010575,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010576,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010577,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
