part_number,quantity,guide_price
DGL-50510,1,153.7565
TEI14949PL50-1,1,139.434
CE15,1,335.359
453-016,1,335.359
MS21347-351,1,377.91
80163-GEBOERDELT,10,0.595
12776,50,0.425
ASNA0032-022,2,6.9275
55216-014-022,2,6.9275
FLEXINOX000,2,6.9275
55216-14-22,2,6.9275
MS21919WH2,5,3.1705
"LN9108-5.5655-0,63",1,74.1455
"LN9108-5.5655.2-0,63",1,74.1455
EN3759-040016A,5,3.2385
SP3810,1,3534.2065
66223-011-2,1,17891.055
RD25M10JVL0,1,35.666
RD50M10JVL0,1,110.3555
RD9M10JVL0,1,56.0745
39F101,5,3.4425
LN29957-05028A,1,5.015
NAS1921C05S03U,1,2.7115
1921C05S03,1,2.7115
LN9037-05020,5,2.703
10-4804-413,1,1885.2235
10-4804 413,1,1885.2235
PR02-56R-2W,10,0.884
PR02000205609JA100,10,0.884
PR02 56R 5% 2W TK250,10,0.884
PR02000000560JA100,10,0.884
PR0256R230619853569 VIS,10,0.884
NAS1149D0363H,100,1.3515
MS21042-4,2,1.7935
MS3470L10-6S,1,75.259
ECS0031-12,1,118.439
DHS217-436-10,1,118.439
ECS0031.12,1,118.439
43220 SEC,1,118.439
G939,1,118.439
9867700050,1,11.7385
EN3240-050,1,11.7385
11SMA50-2-5C,1,42.619
11_SMA-50-2-5/111_NE,1,42.619
LN94-30025,100,0.306
LN9037-04012,20,2.4735
"LN9303-1,0",2,2.9495
LN9028B8,5,4.7855
LN94-15020,100,0.459
LN9025-0510N,10,1.241
LN9439M3X10,5,0.8585
LN9348-03,25,1.105
LN94-15010,100,0.1445
LN7-6M6X20,2,19.635
LN9038-05016,10,1.9635
DIN6799-4,100,0.085
LN9038-05012,10,1.7595
LN9484M5,20,4.794
8500-21,1,68.8925
LN9438M4X15,5,4.437
LN9038-06020,10,2.5245
LN9439M4X12,20,3.808
LN9348-10,5,1.955
LN9037-05018,10,2.635
LN9240-12X2,2,3.281
LN29678M4,5,1.173
424SP1,1,175.0235
DIN912-M4X8-8.8-B2C,1,1.496
DIN912M4X8-8.8B2C,1,1.496
MS24524-23,1,109.089
MS3459L12S3S,1,271.099
LN9198-3207BF,100,0.034
LN9198-4009CF,100,0.0425
LN9198-4008CF,5,0.0425
LN9198-4010CF,50,1.0965
LN9198-4011CF,100,0.0595
LN9198-4012CF,500,0.102
LN9198-4014CF,4,4.675
LN9198-4013CF,100,0.0595
LN9198-3209BF,500,0.034
LN9198-4016CF,2,1.5895
LN9198-3210BF,100,0.034
LN9198-4018CF,5,5.0575
LN9198-4017CF,5,3.6805
252-8557-000,1,77.112
BRSP96/25-SK-W5-1TEILIG,1,42.891
2LA007353-10,1,664.8785
255.05.01,1,1102.722
255.05-01,1,1102.722
LN9343-05LINKS,1,15.1215
LN9198-3206BF,100,0.034
LN9198-2405BF,500,0.034
LN9037-08032,10,9.69
MS21042-04,2,0.459
MS21042-08,2,0.425
MS21042-3,10,0.7735
MS28775-021,5,1.972
MS28778-4,5,2.193
MS28778-6,10,2.2355
MS9058-08,10,5.3295
MS35206-214,20,0.493
MS35206-228,10,1.1135
MS20392-2C41,20,2.839
LN9016-12L,5,3.825
LN29794-05X14,10,4.9555
NSA55144-003,20,3.077
55144-003,20,3.077
2600LW,20,3.077
NSA5528-115,1,16.5665
LN9037-10054,5,12.665
LN29952-0405K,20,1.1645
NAS617-10,10,3.5275
NAS617-8,10,3.3915
NAS617-3,1,3.009
